source,company,title,category,location,latitude,longitude,datePosted,link,description
Adzuna,Milliman,Data Scientist,IT Jobs,"Illinois Medical District, Chicago",41.868494,-87.673975,2021-01-21 13:50:38+00:00,https://www.adzuna.com/land/ad/1948096692?se=PmpsZQ5i6xGA1aUHqioM-A&utm_medium=api&utm_source=86767575&v=3024302600E6F1AD320E6F9A8D18009B22D9954E,"Responsibilities As a Data Scientist, you will develop predictive models for Milliman’s market leading claim analytics solution, NodalTM. You will leverage Deep Learning and NLP ...  will be an analytics company. At Milliman, our actuaries and data scientists are revolutionizing the insurance market. From Intelliscript to MedInsight, and Datalytics-Defense to Nodal, Milliman ..."
Adzuna,Robert Half,Data Scientist,IT Jobs,"Magnificent Mile, Chicago",41.895186,-87.621863,2021-01-16 17:44:51+00:00,https://www.adzuna.com/land/ad/1939876727?se=PmpsZQ5i6xGA1aUHqioM-A&utm_medium=api&utm_source=86767575&v=CE4261F71983DD4B8E26F2FB0D75FF2534282134,Ref ID: 01300-0011661456 Classification: Data Scientist Compensation: DOE Robert Half Technology is currently seeking a Data Scientist for one of our top clients ...  This is an excellent opportunity to join a Data Science/Engineering team at its onset and make a big difference in the company and industry. This role will be contract to full time and can be 100 ...
Adzuna,Vertical Trail,Data Scientist,IT Jobs,"River North, Chicago",41.8884,-87.6351,2021-01-26 18:57:42+00:00,https://www.adzuna.com/land/ad/1956554766?se=PmpsZQ5i6xGA1aUHqioM-A&utm_medium=api&utm_source=86767575&v=79F3ED9CEB362CD9E859EBA6FE909258DF9C6EA7,"Vertical Trail LLC is a rapidly growing consultancy focused on delivering modern Analytics, Big Data, and Cloud solutions. Vertical Trail is looking for a Data Scientist ...  3rd party or contract candidates for this role. Our Data Scientist will be responsible for: · Building ML and AI models, as well as predictive modeling and forecasting · Deploying ..."
Adzuna,Chaseman Global,Data Scientist,Scientific & QA Jobs,"River North, Chicago",41.8884,-87.6351,2021-01-26 18:55:42+00:00,https://www.adzuna.com/land/ad/1956536832?se=PmpsZQ5i6xGA1aUHqioM-A&utm_medium=api&utm_source=86767575&v=1958DF2D96D070DBA638E8A15A929B8172CF964C,"Agronomic Data Scientist The Company We have been retained by this progressive scale-up to help with their next phase of expansion. They are experiencing continued success ...  waste. This is a new role as the company scales to build out the Data Science function. You will have autonomy and room to grow, with your ideas being heard and put into action ..."
Adzuna,Epsilon,Data Scientist,IT Jobs,"Greektown, Chicago",41.87455,-87.64863,2021-01-26 18:57:46+00:00,https://www.adzuna.com/land/ad/1956555317?se=PmpsZQ5i6xGA1aUHqioM-A&utm_medium=api&utm_source=86767575&v=B16B5F36002820F25BA1859A7071B6BE1D289BF3,", visit www.epsilon.com. Follow us on Twitter at EpsilonMktg. Job Description External Title Data Scientist Internal Title Scientist, Decision Sciences In this role, you will research ...  is a collaborative, multi-disciplinary R&D team combining data science, machine learning, AI, computer science, and more. Our colleagues love the fast-paced, dynamic work environment, the speed ..."
Adzuna,AKIRA/shopAKIRA.com,Data Scientist,IT Jobs,"River North, Chicago",41.8884,-87.6351,2021-01-26 18:57:09+00:00,https://www.adzuna.com/land/ad/1956549432?se=PmpsZQ5i6xGA1aUHqioM-A&utm_medium=api&utm_source=86767575&v=69B8E0AB323346B4872500B8E0FE9DD088B58439,"Data Scientist AKIRA is a Chicago-based Women's Fast Fashion Retailer with 30 stores across the U.S., and a strong e-commerce presence. We are looking for a Data Scientist ...  results, this may be the position for you The Position Data Science Location Chicago, IL. Overview A Data Analyst in the Business Transformation team should feel comfortable working ..."
Adzuna,Epsilon,Data Scientist,IT Jobs,"Greektown, Chicago",41.87455,-87.64863,2021-01-26 18:56:28+00:00,https://www.adzuna.com/land/ad/1956543058?se=PmpsZQ5i6xGA1aUHqioM-A&utm_medium=api&utm_source=86767575&v=16CA4D992D9CAAB557DF25FF5AE495D0FADB55ED,"...  unmatched depth, breadth and scale to help brands turn meaningful human interactions into exceptional business outcomes. Epsilon is seeking a Data Science Intern  As a Data Science Intern ...  Qualifications In a Ph.D. program in Computer Science, Engineering, Statistics, Mathematics, Linguistics, or related field Research experience and coursework in data science, machine learning ..."
Adzuna,Jobot,Data Scientist,IT Jobs,"The Gap, Chicago",41.8865,-87.6245,2021-01-26 18:56:21+00:00,https://www.adzuna.com/land/ad/1956542110?se=PmpsZQ5i6xGA1aUHqioM-A&utm_medium=api&utm_source=86767575&v=9BCEF6B2904ABAD348F993EFDA4F3F7D83288DEE,"REMOTE Data Scientist (Preventative Health) This Jobot Job is hosted by Dekota Flaherty Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume ..."
Adzuna,NORC at the University of Chicago,Senior Data Scientist,IT Jobs,"Illinois Medical District, Chicago",41.868494,-87.673975,2021-01-25 21:31:50+00:00,https://www.adzuna.com/land/ad/1955071778?se=PmpsZQ5i6xGA1aUHqioM-A&utm_medium=api&utm_source=86767575&v=0A7FE1AC9A38C7412C84DE013DABB99178328625,"Senior Data Scientist - Advanced Data Solutions Application Development, Data Services, Project Management JOB DESCRIPTION: NORC is currently seeking a Senior Data Scientist ...  ADS SME with regard to expanding our teams' data science skills, big data analysis and other innovative data solutions Support recruitment of informatics experts Develop analytic ..."
Adzuna,Fetch Rewards,Data Scientist,IT Jobs,"Illinois Medical District, Chicago",41.868494,-87.673975,2021-01-02 01:48:10+00:00,https://www.adzuna.com/land/ad/1913189024?se=PmpsZQ5i6xGA1aUHqioM-A&utm_medium=api&utm_source=86767575&v=E62B149E4D4A626601896B523680276F856B9A53,". Headquartered in Madison, WI with offices in Chicago, Denver, San Francisco, and New York, we pride ourselves on two things  speed and excellence. The Data Science & Analytics team embodies ...  these values and works with a laser focused objective to enable data driven decision making for both internal stakeholders and external partners. We are looking for a Senior Data Scientist ..."
